model,pre-trained-embeddings,embedding_size,droprate,batch_size,learning_rate,best_train,best_val,best_test
0,True,50,0.1,128,0.001,0.991875,0.989082325169666,0.9880470926575
1,True,50,0.1,128,0.0035,0.998229166666667,0.991147831570402,0.987867349689943
2,True,50,0.1,128,0.006,0.994427083333333,0.98908232552142,0.988855936011504
3,True,50,0.1,256,0.001,0.999010416666667,0.990262614340513,0.989574907881729
4,True,50,0.1,256,0.0035,0.999583333333333,0.990262614340513,0.987507863754831
5,True,50,0.1,256,0.006,0.998958333333333,0.991147831218649,0.988226835625056
6,True,50,0.2,128,0.001,0.997916666666667,0.989967542047802,0.987777478206165
7,True,50,0.2,128,0.0035,0.995,0.990262614340513,0.988676193043947
8,True,50,0.2,128,0.006,0.997395833333333,0.990262614340513,0.988136964162705
9,True,50,0.2,256,0.001,0.9934375,0.98790203599882,0.988316707108834
10,True,50,0.2,256,0.0035,0.994947916666667,0.989967542047802,0.987597735238609
11,True,50,0.2,256,0.006,0.993697916666667,0.989967542047802,0.98903567897906
12,True,50,0.3,128,0.001,0.997916666666667,0.991737975804072,0.988766064527725
13,True,50,0.3,128,0.0035,0.992083333333333,0.990852758925937,0.987328120787274
14,True,50,0.3,128,0.006,0.996354166666667,0.988787252876955,0.987867349689943
15,True,50,0.3,256,0.001,0.997708333333333,0.989082325169666,0.988766064527725
16,True,50,0.3,256,0.0035,0.998854166666667,0.990262614340513,0.988496450076391
17,True,50,0.3,256,0.006,0.991354166666667,0.989377397462378,0.9880470926575
18,True,100,0.1,128,0.001,0.998802083333333,0.990262614340513,0.989574907881729
19,True,100,0.1,128,0.0035,0.99765625,0.989967542047802,0.989305293430394
20,True,100,0.1,128,0.006,0.98234375,0.989377397462378,0.98651927743327
21,True,100,0.1,256,0.001,0.99953125,0.98996754167846,0.989485036397951
22,True,100,0.1,256,0.0035,0.99734375,0.99085275927769,0.990204008268177
23,True,100,0.1,256,0.006,0.99546875,0.992328120389496,0.987597735238609
24,True,100,0.2,128,0.001,0.99625,0.987311891413396,0.9880470926575
25,True,100,0.2,128,0.0035,0.9996875,0.990262614340513,0.986878763368383
26,True,100,0.2,128,0.006,0.993489583333333,0.988787252876955,0.987238249303496
27,True,100,0.2,256,0.001,0.998229166666667,0.989377397093037,0.988586321560169
28,True,100,0.2,256,0.0035,0.998333333333333,0.990852758925937,0.988316707108834
29,True,100,0.2,256,0.006,0.996927083333333,0.990557686633225,0.988945807495282
30,True,100,0.3,128,0.001,0.994270833333333,0.99085275927769,0.987957221173721
31,True,100,0.3,128,0.0035,0.9971875,0.990557686984979,0.989125550484265
32,True,100,0.3,128,0.006,0.998125,0.990262613971172,0.9880470926575
33,True,100,0.3,256,0.001,0.99703125,0.988787253228708,0.98705850633594
34,True,100,0.3,256,0.0035,0.995,0.989967542047802,0.987867349689943
35,True,100,0.3,256,0.006,0.991354166666667,0.990262614340513,0.987238249303496
36,True,200,0.1,128,0.001,0.999114583333333,0.990262614340513,0.988586321560169
37,True,200,0.1,128,0.0035,0.991770833333333,0.990262614692267,0.987148377819718
38,True,200,0.1,128,0.006,0.993020833333333,0.989082325169666,0.986699020400827
39,True,200,0.1,256,0.001,0.998854166666667,0.990262614340513,0.986788891884605
40,True,200,0.1,256,0.0035,0.9925,0.990262614340513,0.987148377819718
41,True,200,0.1,256,0.006,0.9965625,0.989377397814132,0.984901590725263
42,True,200,0.2,128,0.001,0.998697916666667,0.989377397462378,0.988406578592613
43,True,200,0.2,128,0.0035,0.99890625,0.989377397462378,0.98705850633594
44,True,200,0.2,128,0.006,0.994375,0.988197108291531,0.983373775501033
45,True,200,0.2,256,0.001,0.99703125,0.99085275927769,0.987148377819718
46,True,200,0.2,256,0.0035,0.9909375,0.98967246975509,0.988226835625056
47,True,200,0.2,256,0.006,0.990208333333333,0.988197108291531,0.988136964141278
48,True,200,0.3,128,0.001,0.99515625,0.98967246975509,0.988406578592613
49,True,200,0.3,128,0.0035,0.993177083333333,0.990852758925937,0.987597735238609
50,True,200,0.3,128,0.006,0.988385416666667,0.987902036350573,0.98705850633594
51,True,200,0.3,256,0.001,0.99859375,0.990557686633225,0.987417992271052
52,True,200,0.3,256,0.0035,0.998697916666667,0.989967542399555,0.987148377819718
53,True,200,0.3,256,0.006,0.993802083333333,0.988492180935997,0.986249662981936
54,True,300,0.1,128,0.001,0.997083333333333,0.990262614340513,0.986339534465714
55,True,300,0.1,128,0.0035,0.993229166666667,0.985836530301591,0.984182618855037
56,True,300,0.1,128,0.006,0.982552083333333,0.985541457657126,0.983643389952368
57,True,300,0.1,256,0.001,1,0.99144290351136,0.988406578592613
58,True,300,0.1,256,0.0035,0.991145833333333,0.99144290351136,0.987597735238609
59,True,300,0.1,256,0.006,0.998125,0.989377397814132,0.985980048530601
60,True,300,0.2,128,0.001,0.99875,0.989082325169666,0.987867349689943
61,True,300,0.2,128,0.0035,0.998645833333333,0.989377397814132,0.987417992271052
62,True,300,0.2,128,0.006,0.991770833333333,0.983475951590556,0.984631976273928
63,True,300,0.2,256,0.001,0.9925,0.98967246975509,0.987957221173721
64,True,300,0.2,256,0.0035,0.996927083333333,0.990557686633225,0.98651927743327
65,True,300,0.2,256,0.006,0.990833333333333,0.98967246975509,0.985261076660376
66,True,300,0.3,128,0.001,0.996145833333333,0.990557686633225,0.986788891884605
67,True,300,0.3,128,0.0035,0.990416666666667,0.990557686263884,0.988316707130261
68,True,300,0.3,128,0.006,0.989114583333333,0.985836530301591,0.985350948144154
69,True,300,0.3,256,0.001,0.996875,0.990262614340513,0.988136964141278
70,True,300,0.3,256,0.0035,0.991510416666667,0.988492180584243,0.98651927743327
71,True,300,0.3,256,0.006,0.993229166666667,0.988492180935997,0.985800305563045
